Rank,Song,Artist,Album,Streams,Date,From
66,"""5,V,74,2014
67.,""The Hills""""""",The Weeknd,Beauty Behind the Madness,772,2015,American
68,"""Me, Myself & I""",G-Eazy and Bebe Rexha,When It's Dark Out,765,2015,American
69,"""Ride""",Twenty One Pilots,Blurryface,764,2016,American
70,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,The Heist,760,2011,American
71,"""Where Are Ü Now""",Jack U with Justin Bieber,Skrillex and Diplo Present Jack Ü & Purpose,756,2015,American
72,"""In the Name of Garrx and Bebe Rexha,Non-album single,755,2016
73.,""Cake by the Ocean""""""",DNCE,DNCE,753,2017,American
74,"""Side to Side""",Ariana Grande featuring Nicki Minaj,Dangerous Woman,752,2016,American
75,"""Me Rehúso""",Danny Ocean,Non-album single,747,2016,American
76,"""Lush Life""",Zara Larsson,So Good,745,2015,European
77,"""i hate u, i love u""",gnash featuring Olivia O'Brien,us,743,2016,American
78,"""Love Me like You Do""",Ellie Goulding,Delirium,743,2015,European
79,"""Demons""",Imagine Dragons,Night Visions,742,2012,American
80,"""Too Good at Goodbyes""",Sam Smith,The Thrill of It All,734,2017,European
81,"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,Everybody,725,2017,American
82,"""I Feel It Coming""",The Weeknd featuring Daft Punk,Starboy,724,2016,American
83,"""Psycho""",Post Malone featuring Ty Dolla $ign,beerbongs & bentleys,716,2018,American
84,"""Riptide""",Vance Joy,Dream Your Life Away,713,2013,Other
85,"""Stay""",Zedd and Alessia Cara,Non-album single,711,2017,Other
86,"""In My Feelings""",Drake,Scorpion,709,2018,American
87,"""There's Nothing Holdin' Me Back""",Shawn Mendes,Illuminate,706,2017,American
88,"""Too Good""",Drake featuring Rihanna,Views,702,2016,American
89,"""I Fall Apart""",Post Malone,Stoney,701,2016,American
90,"""Mask Off""",Future,Future,699,2017,American
91,"""Starving""",Hailee Steinfeld and Grey featuring Zedd,Non-album single,696,2016,American
92,"""Jocelyn Flores""",XXXTENTACION,"""17""",694,2017,American
93,"""Better Now""",Post Malone,beerbongs & bentleys,693,2018,American
94,Silence,Marshmello,Non-album single,689,2017,American
95,"""""Fast Car""""",Jonas Blue featuring Dakota,Blue,683,2015,European
96,"""24K Magic""",Bruno Mars,24K Magic,682,2016,American
97,"""Rather Be""",Clean Bandit featuring Jess Glynne,New Eyes,680,2014,European
98,"""PILLOWTALK""",ZAYN,Mind of Mine,680,2016,European
99,"""I Like It""",Cardi B featuring Bad Bunny and J Balvin,Invasion of Privacy,676,2018,American
100,"""Castle on the Hill""",Ed Sheeran,Division,673,2017,European
